Builder,Order #,Job #,Lot,Tract,Store,Job Type,Install Date,Status,Revenue,Transitions Found
"PULTE HOMES OF LOUISV MS 1050","CG633629","KCS TCG 4.5 39 - LVP","39","CREEKSTONE TCG 4.5 PACKAG","005","RESILIENT - LV CLICK","2026-06-25","SCHEDULED","5867.19",""
"PULTE HOMES OF LOUISV MS 1050","CG638232","KCTF 151 - LVT  CLICK","151","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-06-30","SCHEDULED","4963.64",""
"PULTE HOMES OF LOUISV MS 1050","CG633793","KCTF 155 - LVP","155","CATALPA FARMS","005","RESILIENT - LV CLICK","2026-07-01","SCHEDULED","4855.81",""
"PULTE HOMES OF LOUISV MS 1050","CG633047","KAR TCG 4 71 - LVT","71","Aiken Ridge TCG 4","005","RESILIENT - LV CLICK","2026-07-01","SCHEDULED","3164.63",""
"PULTE HOMES OF LOUISV MS 1050","CG638905","KAR TCG 4 96 - LVT - CLICK","96","AIKEN RIDGE TCG 4","005","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","3982.62",""
"PULTE HOMES OF LOUISV MS 1050","CG638213","KAR TCG 4 76 - LVT CLICK","76","AIKEN RIDGE TCG 4","005","RESILIENT - LV CLICK","2026-07-08","SCHEDULED","3982.62",""
"PULTE HOMES OF LOUISV MS 1050","CG639990","KAM TCG 4.5 137 - LVT","137","ARDMORE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-13","SCHEDULED","3729.89",""
"PULTE HOMES OF LOUISV MS 1050","CG638847","KAR TCG 4.5 115 - LVT - CLICK","115","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-13","SCHEDULED","4842.78",""
"PULTE HOMES OF LOUISV MS 1050","CG639767","KAR TCG 4.5 89 - LVT - CLICK","89","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-29","SCHEDULED","3827.76",""
"PULTE HOMES OF LOUISV MS 1050","CG639946","KAR TCG 4.5 114 - LVT","114","AIKEN RIDGE TCG 4.5","005","RESILIENT - LV CLICK","2026-07-30","SCHEDULED","3827.76",""
"ESTRIDGE HOMES","CG635049","MD 232 - LVT","232","Midland","003","RESILIENT - LV CLICK","","","15891.64",""
"ESTRIDGE HOMES","CG632634","MD 111 - LVT","111","Midland","003","RESILIENT - LV CLICK","","","6061.88",""
"ESTRIDGE HOMES","CG634627","MD 250 - LVT","250","Midland","003","RESILIENT - LV CLICK","","","12764.69",""
"ESTRIDGE HOMES","CG634693","CH R32 - LVT","R32","Chatham","003","RESILIENT - LV CLICK","","","30156.75",""
"ESTRIDGE HOMES","CG632118","MD 100 - LVT","100","MIDLAND","003","RESILIENT - LV CLICK","","","5843.32",""
"ESTRIDGE HOMES","CG632464","MD 124 - LVT","124","Midland","003","RESILIENT - LV CLICK","","","6469.39",""
"ESTRIDGE HOMES","CG632499","MD 123 - LVT","123","Midland","003","RESILIENT - LV CLICK","","","6387.95",""
